Title,ISBN,Author,Publisher_Place,Edition_Statement,Type_of_Material,Physical_Medium,Physical_Description,Subject
Sahitya chanta : Malayalam Kahaniyan,81-7643-009-9,"Jain, Chiranjib","Nalbari, Sailendra Prasad Medhi, 1976",5th ed,Textual Document,Paper,256p,Assamese literature; Essays
Chandra Kumar : Malayalam Kahaniyan,81-7643-009-9,"Agarwala, Jyotiprasad","Tezpur, Jyotiprasad Sowarani Sanstha, 1967",5th ed,Textual Document,Paper,74p,Assamese literature
Prayog bhasha bigyanor ruplekha : Malayalam Kahaniyan,81-7339-452-0,"Duttabaruah, Phindra Narayan","Dibrugarh, Banalata, 2006",5th ed,Textual Document,Paper,127p,Assamese language; Assamese
Kimascharyam : Malayalam Kahaniyan,81-7339-452-0,KumarSrimadhusudan,"Guwahati, Lawyers Book Stall, 1958",5th ed,Textual Document,Paper,120p,Assamese literature
Asomiya kabita : rupantarar parba,81-7339-452-0,Barua Bhaben,"Guwahati, Granth, 2002",5th ed,Textual Document,Paper,319p,Assamese prose literature - History and criticism
Asamiya sahityat nari : rupantarar parba,81-7339-452-0,Author :,"Tezpur, Sadou Asom Lekhika Samaroh Samity, 1995",5th ed,Textual Document,Paper,330p,Assamese literature - Collections; Women in literature and art
Bohagee : rupantarar parba,81-7339-452-0,Bhuyan N,"Jorhat, Asam publications, 1950",5th ed,Textual Document,Paper,120p,Assamese literature; Folk songs - Assam
Arjun sanbad : rupantarar parba,81-7339-452-0,Kavi Lakshmipati,Publisher & Place :,5th ed,Textual Document,Paper,30p,Assamese literature; Assamese poetry - Collections
Shishulila : rupantarar parba,81-7339-452-0,Author :,Publisher & Place :,5th ed,Textual Document,Paper,30p,Assamese literature; Assamese poetry - Collections
Nibandhamala : rupantarar parba,81-7339-452-0,Goswami M. D,"Nowgong, Assam Sahitya Sabha, 1959",5th ed,Textual Document,Paper,180p,Assamese literature - Collections
Srihastamuktavali : rupantarar parba,81-7339-452-0,Subhankar,"Guwahati, B. N. Sastri, 1964",5th ed,Textual Document,Paper,250p,Assamese literature
"Asamiya galpa sankalan, Vol.2 : rupantarar parba",81-7339-452-0,"Borgohain, H","Guwahati, Asam Prakashan Parishad, 1976",5th ed,Textual Document,Paper,350p,Assamese literature; Artical collection
Ananya Prantar : rupantarar parba,81-7339-452-0,"Choudhury,M","Guwahati, Guwahati Book Stall, 1972",5th ed,Textual Document,Paper,285p,Assamese literature; Fiction
Odyssey : rupantarar parba,81-7339-452-0,Homer,"Guwahati, Asam Prakashan Parishad, 1971",5th ed,Textual Document,Paper,300p,Assamese literature; Novel
Uttarayan : rupantarar parba,81-7339-452-0,"Saikia, P",Publisher & Place :,5th ed,Textual Document,Paper,210p,Assamese literature; Novel
Adhunik asamiya sahitya : Duti taranga,81-7339-452-0,"Bharali,S","Guwahati, New Book Stall, 1976",5th ed,Textual Document,Paper,150p,Assamese literature; Critical studies
Prabandha bikash : Duti taranga,81-7339-452-0,"Bhattacharya, H N","Guwahati, Manas Publishers, 1982",5th ed,Textual Document,Paper,110p,Assamese literature; Artical collection
Kalidas : Duti taranga,81-7339-452-0,"Choudhury, A","Guwahati, Bani Prakashan, 1970",5th ed,Textual Document,Paper,130p,Assamese literature; Article collection
Dev Damodar guru prabandha : Duti taranga,81-7339-452-0,Goswami N. D,"Guwahati, P K Sarmah, 1978",5th ed,Textual Document,Paper,160p,Assamese literature
Ananda chandra Agarwala granthawali : Duti taranga,81-7339-452-0,Bora M,"Jorhat, N Saikia, 1974",5th ed,Textual Document,Paper,55p,Assamese literature
Burhi gangaat jui : Duti taranga,81-7339-452-0,"Choudhury,N",Publisher & Place :,5th ed,Textual Document,Paper,110p,Assamese literature; Novel
Sahitya-dristi : Duti taranga,81-7339-452-0,"Baruah, A. Ch","Guwahati, Bani Prakashan, 1960",5th ed,Textual Document,Paper,100p,Assamese literature; Critical studies
Natun prem : Duti taranga,81-7339-452-0,"Choudhury, Nagen","Guwahati, Bookland, 1969",5th ed,Textual Document,Paper,130p,Assamese literature; Assamese--novel
Piyali Phukan : Duti taranga,81-7339-452-0,Author :,Publisher & Place :,5th ed,Textual Document,Paper,110p,Assamese Literature; Assamese--Drama
Adhunik Sahitya,NA,"Baruah, Hem",Publisher & Place :,NA,Textual Document,Paper,60p,Assamese literature; Critical studies
Purani Sahitya Adhyan,NA,"Sarma, S. N","Guwahati, Bani Prakashan, 1988",NA,Textual Document,Paper,120p,Assamese literature; Critical studies
Asamar loka sanskritir rupekha,NA,"Cheita, Umesh","Dhemaji, Kiran Prakashan, 2008",1st ed,Textual Document,Paper,"xvi,312p",Folkore; Assamese literature; Culture
Pratnattatik Pandit Hemchandra Goswami,NA,Author :,"Golaghat, [s.n.], 1972",1st ed,Textual Document,Paper,120p,Assamese Literature; Critical Study
Asamiya Sahityar Samiksha,NA,"Sharma, D",Publisher & Place :,1st ed,Textual Document,Paper,110p,Assamese literature; Critical essays
Aikyatan aru Kahudi,NA,"Hazarika, A.Ch","Guwahati, Janaki Prakashan, 1976",1st ed,Textual Document,Paper,120p,Assamese Literature; Assamese---poetry
Sahitya Sanbhan,NA,"Sharma, K.Ch","Tezpur, [s.n.], 1982",1st ed,Textual Document,Paper,120p,Assamese Literature
Sanskrit Samalochana SastrarBibartan aru Dhara,NA,"Sharma,N. N","Guwahati, Chandra Prakashan, 1994",1st ed,Textual Document,Paper,150p,Assamese Literature; Critical Study
Sukhar Sandhan,NA,"Russel, B","Guwahati, Prakashan Parishad, 1964",1st ed,Textual Document,Paper,150p,Assamese Literature; Article Collection
Tatta-Katha,NA,"Bezbarua, L",Publisher & Place :,1st ed,Textual Document,Paper,200p,Assamese Literature; Critical Studies
"Asamiya jati, bhasa aru sahityar janma katha",NA,"Mahanta, Bapchandra","Jorhat, Mahanta Prakashan, 1996",1st ed,Textual Document,Paper,245p,Assamese literature - History and criticism
Ishvar purus Sri Sri Maddhadeva,NA,"Bora, Yogeswar; Bora,Anjana","North Lakhimpur, Bali Naraya Phukan, 1995",1st ed,Textual Document,Paper,284p,Assamese literature; Religion; Madhab Deva; Biography
Patha samiksa,NA,"Neog, Maheswar","Dibrugarh, Dibrugarh University, 1988",1st ed,Textual Document,Paper,119p,Assamese; Assamese literature; Patha samiksa
Asamiya bhasa sahitya aru samskriti,NA,"Bharali, Sailen","Guwahati, Chandra Prakashan, 1996",1st ed,Textual Document,Paper,194p,Assamese literature; Assamese culture
Adhunik bhasabignan paricaya,81-7339-427-x,"DuttaBaruah, P.N","Dibrugarh, Banalata, 2006",1st ed,Textual Document,Paper,218p,Assamese; Assamese language
Anudita Kavita,81-7339-427-x,"Datta,Dinesh Chandra","Nalbari, Ramanath Baruah, 1989",1st ed,Textual Document,Paper,74p,Assamese literature-poem
Assamiya jivani abhidhan,978-81-7339-428-7,Barman Sivanath,"Dibrugarh, Banalata, 2008",2nd rev. ed,Textual Document,Paper,318p,Biography - Dictionaries; Assamese language - Dictionaries
Asamiya Aru Asamar Tibbat- Bharmiya Bhasa,978-81-7339-428-7,"Hakacham, Upen Rabha","Goalpara, Manjula Rabha Hakachamzak, 2007",3rd ed,Textual Document,Paper,223p,Linguistics; Assamese Language; Tibeto-Burman Language
Bharatiya darsanat abhumi,978-81-7339-428-7,"Barua, Girish","Guwahati, Bani Prakashan, 1976",3rd ed,Textual Document,Paper,316p,Assamese; Assamese liteature; Indian philosophy
Birendra Bhattacharyar Sahitya Kriti,978-81-7339-428-7,"Sarma, Hemanta Kumar","Guwahati, Chandra Prakashan, 1983",3rd ed,Textual Document,Paper,260p,Assamese; Assamese literature; Birendra Kumar Bhattacharya
Kataniyanat Chinta-charcha,978-81-7339-428-7,"Thakuria, Ramcharan","Guwahati, Satyendra Kumar Choudhury Cotton College, 2002",3rd ed,Textual Document,Paper,123p,Assamese
Mor sowaranee,978-81-7339-428-7,"Gohain, Baruah Padmanath","Guwahati, Publication Board of Assam, 1971",1st ed,Textual Document,Paper,343p,Assamese; Assamese literature; Biography; Padmanath
Madhavdevar bhakti sahitya,978-81-7339-428-7,"Saikia, Purnanda","Guwahati, Borah Prakashan, 1990",1st ed,Textual Document,Paper,119p,Assamese; Assamese literature; Madhadev
Hazo Anchalar Itihas,978-81-7339-428-7,"Kalita, Samin","Guwahati, Chandra Prakashan, 2007",2nd ed,Textual Document,Paper,230p,Assamese Literature; Hazo-History
Nakul Chandra Bhuyan Rachana Samagra,81-85921-36-9,Author :,"Guwahati, Lawyers Book Stall, 1996",1st ed,Textual Document,Paper,957p,Assamese Literature; Nakul Chandra Bhuyan - Rachana samagra
Guruleela,81-85921-36-9,"Das, R",Publisher & Place :,1st ed,Textual Document,Paper,130p,Assamese Literature; Devotional Poetry
Khiriki Khuliei,81-85921-36-9,Islam. B,"Guwahati, Seagull Theatre, 2010",1st ed,Textual Document,Paper,160p,Assamese Drama; Khiriki Khuliei
Simar Sipare,81-85921-36-9,Islam. B,"Guwahati, Seagull Theatre, 2010",1st ed,Textual Document,Paper,64p,Assamese Play
Ankaawali,81-85921-36-9,Author :,"Guwahati, Lawyers Book Stall, 1997",1st ed,Textual Document,Paper,Lxxx,Assamese Literature; Ankiya Naat; Baishnava Poets; Baishnava Poets of Assam
Barpeta Satrar Itihas,81-85921-36-9,"Pathak, Gokul",Publisher & Place :,5th ed,Textual Document,Paper,220p,Assamese Literature; Barpeta Satra
Sampratik asomiya kavita,81-85921-36-9,Author :,"Tezpur, Tezpur Sahitya Kala Parishad, 1986",1st ed,Textual Document,Paper,"xxvi, 303p",Assamese literature; Assamese poetry
Chailas Marner,81-85921-36-9,Bordoloi Muktinath,"Guwahati, Lawyers Book Stall, 1957",1st ed,Textual Document,Paper,229,Assamese Literature; Novel; Translated
Parinita,81-85921-36-9,"Chattopadhyaya, Saratcandra","Shillong, Sapla Sahitya Sadan, 1952",1st ed,Textual Document,Paper,104,Assamese Literature; Novel
Mirbin,81-85921-36-9,"Terang, Rong Bong","Guwahati, Banalata, 2009",1st ed,Textual Document,Paper,64p,Assamese literature; Assamese fiction
"Madhavdeva : Sahitya, Kala aru Darsan",81-85921-36-9,"Hazarika, Karabi Deka","Dibrugarh, Banalata, 1998",3rd ed,Textual Document,Paper,"x,178p",Assamese miscellaneous writings; Assamese literature
"Asomar natya-subas : Sahitya, Kala aru Darsan",81-85921-36-9,"Sarma, Dhiren","Guwahati, Golok Roymedhi Smriti Prakashan, 2000",1st ed,Textual Document,Paper,104p,Assamese Literature; Assamese essays
"Himalayat Ajan Asomiya Sanyasi : Sahitya, Kala aru Darsan",81-85921-36-9,Kalita. Prankrishna,"Guwahati, Navaratna Publisher, 2012",1st ed,Textual Document,Paper,248p,Assamese Literature
"Bajalir Sabdakosh : Sahitya, Kala aru Darsan",81-85921-36-9,Talukdar Dhirendra,"Pathsala, Pathsala Sahitya Sabha, 2010",1st ed,Textual Document,Paper,498p,Assamese Dictionary
Snehar Arunachal : my hill so strong,81-85921-36-9,"Neog, M","Jorhat, Assam Sahitya Sabha, 1976",1st ed,Textual Document,Paper,86p,Assamese literature; Assamese essay
"Viswa vidyalaya, bhasa, bhasan aru bhraman : my hill so strong",81-85921-36-9,"Neog, M","Guwahati, Service Book Sellers, 1974",1st ed,Textual Document,Paper,86p,Assamese literature; Assamese essay
Guwahati viswavidyalayar adi katha : my hill so strong,81-85921-36-9,"Kalita, H N","Guwahati, Publication Board, 1976",1st ed,Textual Document,Paper,86p,Assamese literature; Assamese essay
Maheswar Neog rachanavali : my hill so strong,81-85921-36-9,"Neog, M","Guwahati, R M Sarma, 1996",1st ed,Textual Document,Paper,86p,Assamese literature; Assamese essay
Svarrekhat bargit : my hill so strong,81-85921-36-9,"Neog, M","Shillong, S Devi, 1958",1st ed,Textual Document,Paper,86p,Assamese literature
Aamiya kabita : my hill so strong,81-85921-36-9,"Saikia, Nagen","Guwahati, Chandra Prakashan, 1996",1st ed,Textual Document,Paper,"ix, 103p",Assamese literature; Poetry
Bahinr patat chintar rengani : my hill so strong,81-85921-36-9,"Deka, Namita","Dibrugarh, Banalata, 1994",1st ed,Textual Document,Paper,377p,Assamese literature
Sahitya aru chetana : my hill so strong,81-85921-36-9,"Gohain, H","Guwahati, Guwahati Book Stall, 1980",1st ed,Textual Document,Paper,"vii, 321p",Assamese literature; Novel
Janma janmantar : my hill so strong,81-85921-36-9,"Thakuria, Birendra Chandra","Guwahati, B Thakuria, 1996",1st ed,Textual Document,Paper,"xv,695p",Assamese literature; Literary essay; Literary essay
Jeevanar dabi : my hill so strong,81-85921-36-9,"Sabhapandit, Kamakhya","Guwahati, Assam Book Depot, 1961",1st ed,Textual Document,Paper,"xv,695p",Assamese literature
Ami pahar bagabalai jaon : my hill so strong,81-85921-36-9,"Bora, Khagendra Nath","Jorhat, A Rajkhowa, 1986",1st ed,Textual Document,Paper,"xv,695p",Assamese literature
Tezar akhare lekha : my hill so strong,81-85921-36-9,"Gohain, H","Kolkata, Sribhumi Publishing Company, 1982",1st ed,Textual Document,Paper,234p,Assamese literature; Assamese novel
Meghmallav,NA,"Saikia, Chandra Prasad","Guwahati, Lawyers Book Stall, 1996",1st ed,Textual Document,Paper,234p,Assamese literature
Koliya jano balia,NA,"Das, Ramchandra","Guwahati, P Das, 1968",1st ed,Textual Document,Paper,234p,Assamese literature; Assamese short story
Sifung gunggang,NA,"Datta, B N","Guwahati, Granthapeeth, 1986",1st ed,Textual Document,Paper,234p,Assamese literature; Assamese essay
Galpajoli,NA,"Goswami, Sarat Chandra","Guwahati, Dutta Baruah & Co, 1955",1st ed,Textual Document,Paper,234p,Assamese literature
Shitagni,NA,"Sarma, Sarat Chandra","Guwahati, S Chand Sarma, 1969",1st ed,Textual Document,Paper,22p,Assamese literature
Bireswar Baruar nirbachita galpa,NA,"Barua, Bireswar","Guwahati, Katha Publications, 1993",1st ed,Textual Document,Paper,22p,Assamese literature; Assamese story collection
Jivan kavita aru Nabakanta,NA,"Borah, Prafulla","Golaghat, Bharah Book Stall, 1990",1st ed,Textual Document,Paper,22p,Assamese literature; Assamese essay
Ourangjebar chithi,NA,"Raochaudhury, Jitendra nath","Guwahati, R Roychaudhury, 1993",1st ed,Textual Document,Paper,22p,Assamese literature
Naradar diary,NA,"Hazarika, Kritinath","Guwahati, Guwahati Book stall, 1975",1st ed,Textual Document,Paper,22p,Assamese literature
Phul chandan,NA,"Sarma, Benudhar","Guwahati, Asom Jyoti Prakash, 1969",1st ed,Textual Document,Paper,22p,Assamese literature
Progyar sadhana,NA,"Borgohain, Homen","Guwahati, Student Stores, 1994",1st ed,Textual Document,Paper,22p,Assamese literature
Purani dinar rengani,NA,"Bordoloi, Nityananda","Guwahati, K Bordoloi, 1974",1st ed,Textual Document,Paper,182p,Assamese literature; Biography
Nimila anka,NA,"Chaudhury, Lakshya","Guwahati, Lawyers Book Stall, 1965",1st ed,Textual Document,Paper,182p,Assamese literature; Assamese drama
Ashanta ghurnee,NA,"Dattabarua, Tarulata","Guwahati, Dutta Baruah & Co, 1976",1st ed,Textual Document,Paper,182p,Assamese literature; Novel
Ranga sendurar phot,NA,"Nath, Dharmeswar","Tezpur, Dharmeswar Nath, 1987",1st ed,Textual Document,Paper,182p,Assamese literature; Assamese poetry
Jivanar daabi,NA,"Sabhapandit, Kamakhya","Guwahati, Asom Book Depot, 1960",1st ed,Textual Document,Paper,182p,Assamese literature
Asomar lipi samasya,NA,"Saikia, Nagen","Jorhat, Assam Sahitya Sabha, 1975",1st ed,Textual Document,Paper,182p,Assamese literature
Ityadi,NA,"Pathak, Bidhi","Guwahati, Lawyers Book Stall, 1995",1st ed,Textual Document,Paper,182p,Assamese literature
Aantarik,NA,"Phukan, Bandita","Guwahati, Rasavaj Samiti, 1966",1st ed,Textual Document,Paper,182p,Assamese literature
Amar ei prithibikhan,NA,"Sarma, Nirmaleswar",Publisher & Place :,1st ed,Textual Document,Paper,182p,Assamese literature
Natyamukti,NA,"Chaodhury, Tarit","Guwahati, Ganesh Prakashan, 1994",1st ed,Textual Document,Paper,"xxiii,190p",Assamese literature; Assamese drama
Asomiya ramayanar chaneki,NA,"Hazarika, K.D","Dibrugarh, Banalata, 1996",1st ed,Textual Document,Paper,"xxiii,190p",Assamese literature
Dasyu samrat,NA,"Goswami, J N",Publisher & Place :,1st ed,Textual Document,Paper,"xxiii,190p",Assamese literature
Sahitya sadhanar abhash,NA,"Barua, Bireswar","Guwahati, Lawyers Book Stall, 1993",1st ed,Textual Document,Paper,77p,Assamese literature; Literary essay
Rajnitigya Kritinath Barbarua,NA,"Datta, Jogen","Golaghat, Bharati Book Stall, 1984",1st ed,Textual Document,Paper,77p,Assamese literature; Biography
Abhinay sekh hol,NA,"Chetia, Jagat","Guwahati, Assam Prakashan Parishad, 1985",1st ed,Textual Document,Paper,77p,Assamese literature
Moi dhaniramar kheti,NA,"Bora, L.N","Guwahati, Lawyers Book Stall, 1991",1st ed,Textual Document,Paper,77p,Assamese literature
Anubhav,NA,"Barua, Kosheswar","Guwahati, Kiran Prakashan, 1994",1st ed,Textual Document,Paper,77p,Assamese literature
Sahitya academic bata bijayee asamiya,NA,"Kalita, Samin","Calcutta, Assam Book Depot, 1987",1st ed,Textual Document,Paper,132p,Assamese literature; Biography
Abhinandita abasad,NA,"Medhi, Birinchi Kumar","Nalbari, S Chand & Company Pvt Ltd, 1982",1st ed,Textual Document,Paper,132p,Assamese literature
Bohag mathon eti ritu nahay,NA,"Hazarika, Bhupen","Guwahati, Surja Publication, 1993",1st ed,Textual Document,Paper,132p,Assamese literature
Deo saphura,NA,"Bora, Sukleswar","Guwahati, New Book Stall, 1962",1st ed,Textual Document,Paper,132p,Assamese literature
Asamapta pandulipi,NA,"Sarma, Alok","Udalguri, Mani Prakash, 1993",1st ed,Textual Document,Paper,132p,Assamese literature
Kirtan puthir rasbichar,NA,"Gohain, Hiren","Guwahati, Lawyers Book Stall, 1987",1st ed,Textual Document,Paper,83p,Assamese literature; Literary criticism
Niyatir nirmali,NA,Premnarayan,"Guwahati, Manithanik Prakashan, 1980",1st ed,Textual Document,Paper,"xviii, 581p",Assamese literature; Fiction
Rajanikanta Bardoloir rachanamala,NA,Author :,"Jorhat, Assam Sahitya Sabha, 1967",1st ed,Textual Document,Paper,"xii, 289p",Assamese literature; Literary collection
Smritilekha,NA,"Hazarika, Atul Chandra","Guwahati, Assam Prakashan Parishad, 1981",1st ed,Textual Document,Paper,"xviii, 581p",Assamese literature; Biography
Pandit Hemchandra Goswami rachanawali,NA,"Sarma, Benudhar","Guwahati, J Goswami, 1972",1st ed,Textual Document,Paper,"xviii, 581p",Assamese literature
Ikshita Illora,NA,"Barkotoki, Padma","Guwahati, Gauhati Book Stall, 1969",1st ed,Textual Document,Paper,"vi, 376p",Assamese literature; Novel
Dulal,NA,"Sarma, Dinanath","Tezpur, A Sarma, 1952",1st ed,Textual Document,Paper,"vi, 376p",Assamese literature
Gandhi bani,NA,"Nabis, Istadev","Barpeta, Istadev Nabis, 1963",1st ed,Textual Document,Paper,"vi, 376p",Assamese literature
Bibhinna janar dristir Munin Barkotaki,NA,"Barkotoki, Upendra","Guwahati, M Barthakur, 1994",1st ed,Textual Document,Paper,"vi, 376p",Assamese literature; Biography
Hi akash hi mritu,NA,"Sabhapandit, Kamakhya","Guwahati, Assam Book Depot, 1967",1st ed,Textual Document,Paper,"vi, 376p",Assamese literature
Deoyong nodeer geet,NA,"Bora, Swarne","Guwahati, Lawyers Book Stall, 1985",1st ed,Textual Document,Paper,"vi, 376p",Assamese literature
Nirupam ak naksayatra,NA,"Baishya, Champak Lal","Pathsala, Pathsala Sahitya Sabha, 1988",1st ed,Textual Document,Paper,"vi, 369p",Assamese literature; Fiction
Dubari banar mukuta,NA,"Sarma, Hemchandra","Guwahati, Sahitya Publication, 1977",1st ed,Textual Document,Paper,"vi, 369p",Assamese literature; Novel
Andhakup,NA,"Malik, Syed Abdul","Calcutta, Bhaba Publication, 1977",1st ed,Textual Document,Paper,"vi, 369p",Assamese literature
Jonak nibir rati,NA,"Sarkar, Amit","Guwahati, Lawyers Book Stall, 1970",1st ed,Textual Document,Paper,"v, 146p",Assamese literature; Assamese song; Song
Musfir khana,NA,"Neog, Maheswar","Guwahati, Gauhati Book Stall, 1974",1st ed,Textual Document,Paper,"v, 146p",Assamese literature
Pakta ksharan,NA,Kalpurush,"Guwahati, Lawyers Book Stall, 1973",1st ed,Textual Document,Paper,"v, 146p",Assamese literature
Maniki gaor kahini,NA,"Sarma, Siva","Guwahati, Dutta Baruah & Co, 1965",1st ed,Textual Document,Paper,"vi, 430p",Assamese literature
Simantalai kiman dur,NA,"Saikia, K","Guwahati, Dutta Baruah & Co, 1971",1st ed,Textual Document,Paper,"vi, 430p",Assamese literature
Adhunik asomiya kabitar gatibaicitra,NA,"Baruah, Prahlad Kr","Dibrugarh, Banalata, 2000",1st ed,Textual Document,Paper,248p,Assamese literature; Literary criticism
Prak-Sankar yugar Vaishnava sahityat Asom,NA,"Barua, Banti","Guwahati, Bani Mandir, 2005",1st ed,Textual Document,Paper,"vi, 430p",Assamese literature; Vaishnava literature
Sri Sri Sankardev-Madhabdevar bani,NA,"Sarma, S N","Guwahati, Lawyers Book Stall, 1986",1st ed,Textual Document,Paper,248p,Assamese literature; Literary essay
Giradar biratta kahini,NA,"Doyel, K","Guwahati, K P Barua, 1988",1st ed,Textual Document,Paper,"viii,135p",Assamese literature
Reshani sari,NA,"Gogoi, K","Guwahati, Asomi Prakashan, 1978",1st ed,Textual Document,Paper,"viii,135p",Assamese literature
Bahu bhuji tribhuj,NA,"Bora, M","Guwahati, Jnanpith, 1986",1st ed,Textual Document,Paper,"viii,135p",Assamese literature
Political freedom,NA,"Meiklejohn, Alexander","New Delhi, Harper & Row Pub, 1960",1st ed,Textual Document,Paper,41p,Assamese literature
Andaman nicobar dippunjar maze maze,NA,"Borua, Hemlata","Portblair, B Bora, 1973",1st ed,Textual Document,Paper,"xii, 94p",Assamese literature; Literary essay
Nilar surabhi bhangi,NA,"Datta, D.K","Guwahati, Lawyers Book Stall, 1983",1st ed,Textual Document,Paper,"xii, 407p",Assamese literature; Assamese essays
Sahityakar sadhan,NA,Saumar,"Guwahati, Pragjyotipur Prakashan, 1968",1st ed,Textual Document,Paper,"xii, 407p",Assamese literature
Romeo juliet,NA,"Sarma, B","Guwahati, Bani Prakashan, 1968",1st ed,Textual Document,Paper,"vii, 210p",Assamese literature; Assamese novel
Biswa kavita sangrah,NA,"Barua, B","Guwahati, Bina Library, 1994",1st ed,Textual Document,Paper,"vii, 210p",Assamese literature
Devatar samadhi,NA,"Goswami, R.M","Nagaon, P K Rajguru, 1988",1st ed,Textual Document,Paper,"vii, 210p",Assamese literature
Kuwalir akhar,NA,"Choudhury, N",Publisher & Place :,1st ed,Textual Document,Paper,"vii, 210p",Assamese literature
Devi Indrani,NA,Sanjay,"Guwahati, Guwahati Book Stall, 1972",1st ed,Textual Document,Paper,"xiv, 468p",Assamese literature
Santipath,NA,"Devi, Nalinibala","Guwahati, Sapnasal, 1971",1st ed,Textual Document,Paper,"xiv, 468p",Assamese literature
Abhijan aru ananya kabita,NA,"Dutta, Dhirendra Chandra","Golaghat, Bhartiya Book Stall, 1992",3rd ed,Textual Document,Paper,"xii, 455p",Assamese literature; Poetry
Ingraji sahityar kahini,NA,"Sarma, Hari Dutta","Delhi, Dhareshawer, 1976",1st ed,Textual Document,Paper,"xii, 455p",Assamese literature; Short story
Akainka rahghara,NA,"Buragohain, Ripu Nath","Guwahati, Oriental Books, 1966",1st ed,Textual Document,Paper,"xii, 455p",Assamese literature
Palki,NA,"Rajbanshi, Lily","Guwahati, L Rajbangshi, 1996",1st ed,Textual Document,Paper,"xii, 455p",Assamese literature; Fiction
Jeeban aru sahityar dapon,NA,"Borgohaien, Pradipta","Guwahati, Student Stores, 1945",1st ed,Textual Document,Paper,"xii,500p",Assamese literature; Assamese political theory
Dr Lila Gogoi,NA,"Goswami, Prasenjit","Guwahati, Jyoti Prakashan, 1994",1st ed,Textual Document,Paper,"xii,500p",Assamese literature; Life history; Dr Lila Gogoi
Patachara,NA,"Barua, Naba Kanta","Guwahati, Lawyers Book Stall, 1990",1st ed,Textual Document,Paper,"xii,500p",Assamese literature; Assamese novel
Chandrahar,NA,"Mahanta, Mitradev","Jorhat, Barkataki Co, 1962",1st ed,Textual Document,Paper,"xii,500p",Assamese literature; Novel
Dr Jakil aru Mr Hyde,NA,"Stevenson, Rober Lui","Guwahati, Lawyers Book Stall, 1971",1st ed,Textual Document,Paper,"viii,416p",Assamese literature; Short stories
Man aru man,NA,"Goswami, Ram","Guwahati, Guwahati Book Stall, 1976",1st ed,Textual Document,Paper,"viii,416p",Assamese literature; Critical studies
Rip Van Winkle,NA,"Irving, W","Guwahati, Dutta Baruah & Co, 1984",1st ed,Textual Document,Paper,"viii,416p",Assamese literature; Short stories
Sheugiya paharar kahani,NA,"Bora, Hemlata","Calcutta, [s.n.], 1964",1st ed,Textual Document,Paper,"viii,416p",Assamese literature; Short stories
Mukta,NA,"Steinebake, John","Guwahati, Dutta Baruah & Co, 1966",1st ed,Textual Document,Paper,"viii,416p",Assamese literature; Assamese novel
Adhunik asamiya sahitya parichay,NA,"Gogoi, Lila","Guwahati, Banalata, 2002",1st ed,Textual Document,Paper,468p,Assamese literature
Chiles marner,NA,"Bordoloi, Muktinath","Guwahati, Lawyers Book Stall, 1957",1st ed,Textual Document,Paper,"xvi, 752p",Assamese literature; Short stories
Tarunuam Phukan,NA,"Barua, Harendra Nath","Guwahati, Asam Prakashan Parishad, 1977",1st ed,Textual Document,Paper,"xvi, 752p",Assamese literature; Novel
Sitar pati bhakti,NA,"Choudhury, Sri Mohan","Guwahati, Dutta Baruah & Co, 1970",1st ed,Textual Document,Paper,"xvi, 752p",Assamese literature; Novel
Rangpata,NA,"Sarma, Benudhar","Guwahati, Asam Jyoti, 1970",1st ed,Textual Document,Paper,"xvi, 752p",Assamese literature; Short stories
Jibanlila,NA,"Kalelkar, K","New Delhi, Sahitya Akademi, 1975",1st ed,Textual Document,Paper,"xvi, 752p",Assamese literature; Travelogue
Bidesini,NA,"Barua, Mahanta","Guwahati, Lawyers Book Stall, 1930",1st ed,Textual Document,Paper,"xvi, 752p",Assamese literature; Novel
Kowa bhaturiya other talat,NA,"Sarma, D N","Guwahati, Lawyers Book Stall, 1961",2nd ed,Textual Document,Paper,"xvi, 752p",Assamese literature; Story
Manikut (Madhav-Barman),NA,"Das, Ramchandra","Guwahati, Bani Prakashan, 1986",1st ed,Textual Document,Paper,"xvi, 95p",Assamese literature; Poetry
Jatak-mala,NA,"Baruah, B K","Guwahati, Lawyers Book Stall, 1963",1st ed,Textual Document,Paper,"xvi, 752p",Assamese literature; Story
Budhiyak kon,NA,"Barua, Prafulla Chandra","Guwahati, Asom Prakashan Parishad, 1987",2nd ed,Textual Document,Paper,"xvii, 348p",Assamese literature
Khabar bichari,NA,"Borkataki, Padma","Guwahati, Lawyers Book Stall, 1996",1st ed,Textual Document,Paper,"xvii, 348p",Assamese literature; Novel
Rabha sadhukatha,NA,"Rabha, Rajendra Nath","Guwahati, DAIRTSC, 1992",1st ed,Textual Document,Paper,"xvii, 348p",Assamese literature; Folktales
Dapon pralep,NA,"Chakraborti, Amiya","Sonitpur, Chakraborti, 1986",1st ed,Textual Document,Paper,"xvii, 348p",Assamese literature; Fiction
Kumari prithibi,NA,"Borkataki, Biren","Guwahati, Lawyers Book Stall, 1959",2nd ed,Textual Document,Paper,52p,Assamese literature; Novel
Shangkhaddhani,NA,"Barua, B C","Jorhat, Banti Sahitya Mandir, 1874",1st ed,Textual Document,Paper,52p,Assamese literature; Poetry
Anandamath,NA,"Chattopadhyaya, Bankim Chandra",Publisher & Place :,1st ed,Textual Document,Paper,52p,Assamese literature; Novel
